sample_id,left_char,right_char,left_font,right_font,gap_actual,left_width,right_width,left_height,right_height,left_min_x,left_max_x,left_min_y,left_max_y,right_min_x,right_max_x,right_min_y,right_max_y,left_index,right_index,avg_width,font_size_est,gap_norm,gap_norm_left,gap_norm_right,text_total_width,text_length,pair_key
13208239,Ｔ,Ａ,MaruGothic,MaruGothic,7.0602708342000255,27.161332654299997,26.63999933399998,29.66799925829997,30.614665901300015,159.0845300474,186.2458627017,215.21493675940002,244.8829360177,193.30613353590002,219.9461328699,214.65306714759998,245.2677330489,0,1,26.90066599414999,35.460391270352936,0.26245710183292126,0.2599383073010702,0.2650251880895948,229.84346651829998,7,Ｔ|Ａ|MaruGothic
13208239,Ａ,Ｇ,MaruGothic,MaruGothic,9.559467556100003,26.63999933399998,29.138665938200006,30.614665901300015,31.993332533499995,193.30613353590002,219.9461328699,214.65306714759998,245.2677330489,229.505600426,258.6442663642,213.6921305074,245.6854630409,1,2,27.889332636099994,36.828234373411775,0.34276429919754386,0.3588388811969484,0.3280681269476994,229.84346651829998,7,Ａ|Ｇ|MaruGothic
13208239,Ｇ,Ｕ,MaruGothic,MaruGothic,12.17800363790002,29.138665938200006,23.974666067300006,31.993332533499995,29.7906659219,229.505600426,258.6442663642,213.6921305074,245.6854630409,270.8222700021,294.79693606940003,215.1950633737,244.9857292956,2,3,26.556666002750006,36.34352850317647,0.45856673562257244,0.4179327792057558,0.507953003546109,229.84346651829998,7,Ｇ|Ｕ|MaruGothic
13208239,Ｕ,Ｃ,MaruGothic,MaruGothic,11.185334188399963,23.974666067300006,26.755999331099986,29.7906659219,30.95066589290002,270.8222700021,294.79693606940003,215.1950633737,244.9857292956,305.9822702578,332.7382695889,214.18573336699998,245.1363992599,3,4,25.365332699199996,35.730195185176484,0.44096934666868143,0.46654807024219963,0.4180495764700752,229.84346651829998,7,Ｕ|Ｃ|MaruGothic
13208239,Ｃ,Ｈ,MaruGothic,MaruGothic,13.476660506899975,26.755999331099986,23.274666084800003,30.95066589290002,29.686665924500005,305.9822702578,332.7382695889,214.18573336699998,245.1363992599,346.21493009579996,369.48959618059996,215.2029337319,244.8895996564,4,5,25.015332707949995,35.66901871611766,0.538736009000473,0.5036874287567836,0.5790270183812082,229.84346651829998,7,Ｃ|Ｈ|MaruGothic
13208239,Ｈ,Ｉ,MaruGothic,MaruGothic,15.399733819400012,23.274666084800003,4.038666565699998,29.686665924500005,29.86533258670002,346.21493009579996,369.48959618059996,215.2029337319,244.8895996564,384.88933,388.92799656569997,215.1070700453,244.972402632,5,6,13.65666632525,35.03058735952943,1.1276349185545544,0.6616521914124097,3.813073837337415,229.84346651829998,7,Ｈ|Ｉ|MaruGothic
13208239,田,口,MaruGothic,MaruGothic,51.557332044400084,86.55999783599998,86.55999783599998,85.16533120420002,85.16533120420002,161.66799595829997,248.22799379429995,97.71600119440001,182.88133239860002,299.78532583870003,386.3453236747,97.71600119440001,182.88133239860002,0,1,86.55999783599998,100.19450729905884,0.5956253850893418,0.5956253850893418,0.5956253850893418,224.67732771640004,2,田|口|MaruGothic
13208239,田,口,MaruGothic,MaruGothic,51.557332044400084,86.55999783599998,86.55999783599998,85.16533120420002,85.16533120420002,161.66799595829997,248.22799379429995,97.71600119440001,182.88133239860002,299.78532583870003,386.3453236747,97.71600119440001,182.88133239860002,0,1,86.55999783599998,100.19450729905884,0.5956253850893418,0.5956253850893418,0.5956253850893418,224.67732771640004,2,田|口|MaruGothic
13208239,Ｔ,Ａ,MaruGothic,MaruGothic,7.0602708342000255,27.161332654299997,26.63999933399998,29.66799925829997,30.614665901300015,159.0845300474,186.2458627017,215.21493675940002,244.8829360177,193.30613353590002,219.9461328699,214.65306714759998,245.2677330489,0,1,26.90066599414999,35.460391270352936,0.26245710183292126,0.2599383073010702,0.2650251880895948,229.84346651829998,7,Ｔ|Ａ|MaruGothic
13208239,Ａ,Ｇ,MaruGothic,MaruGothic,9.559467556100003,26.63999933399998,29.138665938200006,30.614665901300015,31.993332533499995,193.30613353590002,219.9461328699,214.65306714759998,245.2677330489,229.505600426,258.6442663642,213.6921305074,245.6854630409,1,2,27.889332636099994,36.828234373411775,0.34276429919754386,0.3588388811969484,0.3280681269476994,229.84346651829998,7,Ａ|Ｇ|MaruGothic
